23.2, 25.4, 30, 11.52, 4.02
24, 26.3, 31.2, 12.48, 4.3056
23.9, 26.5, 31.1, 12.3778, 4.6961
26.3, 29, 33.5, 12.73, 4.4555
26.5, 29, 34, 12.444, 5.134
26.8, 29.7, 34.7, 13.6024, 4.9274
26.8, 29.7, 34.5, 14.1795, 5.2785
27.6, 30, 35, 12.67, 4.69
27.6, 30, 35.1, 14.0049, 4.8438
28.5, 30.7, 36.2, 14.2266, 4.9594
28.4, 31, 36.2, 14.2628, 5.1042
28.7, 31, 36.2, 14.3714, 4.8146
29.1, 31.5, 36.4, 13.7592, 4.368
29.5, 32, 37.3, 13.9129, 5.0728
29.4, 32, 37.2, 14.9544, 5.1708
29.4, 32, 37.2, 15.438, 5.58
30.4, 33, 38.3, 14.8604, 5.2854
30.4, 33, 38.5, 14.938, 5.1975
30.9, 33.5, 38.6, 15.633, 5.1338
31, 33.5, 38.7, 14.4738, 5.7276
31.3, 34, 39.5, 15.1285, 5.5695
31.4, 34, 39.2, 15.9936, 5.3704
31.5, 34.5, 39.7, 15.5227, 5.2801
31.8, 35, 40.6, 15.4686, 6.1306
31.9, 35, 40.5, 16.2405, 5.589
31.8, 35, 40.9, 16.36, 6.0532
32, 35, 40.6, 16.3618, 6.09
32.7, 36, 41.5, 16.517, 5.8515
32.8, 36, 41.6, 16.8896, 6.1984
33.5, 37, 42.6, 18.957, 6.603
35, 38.5, 44.1, 18.0369, 6.3063
35, 38.5, 44, 18.084, 6.292
36.2, 39.5, 45.3, 18.7542, 6.7497
37.4, 41, 45.9, 18.6354, 6.7473
38, 41, 46.5, 17.6235, 6.3705
12.9, 14.1, 16.2, 4.1472, 2.268
16.5, 18.2, 20.3, 5.2983, 2.8217
17.5, 18.8, 21.2, 5.5756, 2.9044
18.2, 19.8, 22.2, 5.6166, 3.1746
18.6, 20, 22.2, 6.216, 3.5742
19, 20.5, 22.8, 6.4752, 3.3516
19.1, 20.8, 23.1, 6.1677, 3.3957
19.4, 21, 23.7, 6.1146, 3.2943
20.4, 22, 24.7, 5.8045, 3.7544
20.5, 22, 24.3, 6.6339, 3.5478
20.5, 22.5, 25.3, 7.0334, 3.8203
21, 22.5, 25, 6.55, 3.325
21.1, 22.5, 25, 6.4, 3.8
22, 24, 27.2, 7.5344, 3.8352
22, 23.4, 26.7, 6.9153, 3.6312
22.1, 23.5, 26.8, 7.3968, 4.1272
23.6, 25.2, 27.9, 7.0866, 3.906
24, 26, 29.2, 8.8768, 4.4968
25, 27, 30.6, 8.568, 4.7736
29.5, 31.7, 35, 9.485, 5.355
23.6, 26, 28.7, 8.3804, 4.2476
24.1, 26.5, 29.3, 8.1454, 4.2485
25.6, 28, 30.8, 8.778, 4.6816
28.5, 31, 34, 10.744, 6.562
